img_url,s1,s2,s3,s4,s5
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_002119.jpg, A bright red couch in a room with mostly wooden furniture., A living room with a large red sofa behind a small wooden table., A red couch with plaid pillows rests against a white wall., Red sofa in den or living room., The old red couch looks handsome in the den.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_002776.jpg, A hotel room with a flat panel on the wall and a wet bar., A living room with a large screen TV and a man sitting on a sofa., A man on a couch sits in a tidy living room with a large television., A person sitting on a couch reading a magazine in a room with a large flatscreen television., Living room or den with large screen television.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_002903.jpg, A dining table in front of a window with two sofas in the fore ground., A living room , A living room with a dining table in the background., Large living room with shiny tile covered floor., View of a living room with a dining room in the background.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_002922.jpg, A couple posing for a picture on a couch., A man and women smiling for the camera while sitting on a black and red sofa., A young male and female couple sitting next to each other., Young couple sitting on a black couch., Young couple sitting on couch.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_002929.jpg, Teenagers hanging out in their room., Two guys are sitting on a couch lazily., Two guys sit on a loveseat., Two men in shorts are sitting on a sofa., Two young men sitting on couch on a boat.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_003271.jpg, A baby is being played with., A close-up of a little girl wait ribbons in her hair., A small child being held by a women looking into the camera., A woman holds up a wide-eyed African-American baby., Baby girl dressed in yellow and white.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_003393.jpg, A girl on a couch looking to the woman sitting next to her., A mother and daughter sit on a brown couch with a baby pillow., A woman with a white pillow sits on a sofa near a girl in a pink sweater., A women sitting with her daughter., The young girl looks admirably at her grandmother.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_003709.jpg, A white colored room with closed blinds and two dark sofas., Living room with two black couches.," This is a white, empty room except for two black couches, which are opposite from each other.", Two black couches in an all white room., Two black love seats facing each other.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_003814.jpg," A small efficiency apartment, complete with twin bed, soda, and entertainment center.", Blue couch and twin bed in a living room., Picture of a dorm room , Red and white checkered floor with blue couch and red pillows in room.," This is the interior of someone's living room including a TV, light, cabinet, chair, guitar, and checkered floor pattern."
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_004416.jpg," A blue, red, and white couch against a wall with accent tables.", A couch with an Union Jack motif sits behind some glass., An English-themed furniture set.," a sofa with the union jack, a blond small table with a lamp "," There is a red, white, and blue sofa and two tables in the room."
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_004497.jpg, A black leather couch with a chew' lounge and a coffee table with light candles in glasses , A brown leather sofa with a wooden coffee table in front of it., A leather couch and wooden table in a living room., A living room with a brown leather couch and a coffee table., The leather couch is behind the coffee table set with glasses and place mats.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_004632.jpg, a dark living room with a white couch and a fireplace , A living room containing a large cream sofa along with a chair and fireplace., An empty room with a beige couch and blinds on the windows., A room with a fireplace and large sofa., Sun shining through the window of a tidy living room.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_004670.jpg," An empty college common space with empty chairs, a couch and a ping pong table.", A party room.," A recreation room with a ping pong table, chairs, and a striped couch.", A striped sofa and office chairs are near a ping pong table., Room set up with going away decorations on wall.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_004881.jpg, A man and small child in a living room posing for the camera., Daughter tickling father., Man and child rocking out ," Man making a funny face, and a child to his left side.", Man with a startled face with a laughing child.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_004938.jpg, An overweight woman in pajamas and bunny slippers is sitting on a green couch., a woman seats on a couch. she has a white dress with flowers ," A women sits on a sofa wearing a dress, slippers and hat.", Older woman dressed in white night gown on tan couch., Woman in a floral nightgown sits on a couch.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_005090.jpg, There are two people sitting on a purple couch while smoking., Two guys on a couch watching tv ," Two guys sitting on a couch watching television, drinking, and smoking.", two men in black tops and blue jeans smoking cigarettes and watching TV ," Two young men relaxing, watching television and drinking beer."
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_005926.jpg, A blue couch with sparse surroundings., A blue sofa in a modern room., A large blue couch on a wooden floor with three pictures on a wall shelf behind., Blue couch in room with sun shining in., There is a blue sofa in the room with white and brown walls.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_006038.jpg, A brown dog resting on a white sofa cushion., A tan dog is lying on a couch and has its head on a white pillow., Brown dog with head on pillow on white sofa., The brown dog is resting his head on a white pillow., This is a picture of a dog resting its head on a white sofa.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_006436.jpg, A furry black dog and a small white dog lying down next to a brown leather couch , A large dog sleeping by the red couch while a small dog sleeps on the rug. , A leather couch between two dogs lying on their backs., Two dogs lying down near a couch.," Two dogs, one large and one small laying near a red leather sofa."
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_006616.jpg, A man in glasses holding a small dog., A man sitting at a table with a dog on his lap., A man with a blue shirt and graying hair sits at a table with a tan chihuahua on his lap., an old man in a blue shirt sitting at a table with a chihuahua on his lap , Older man sitting at table with small dog.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_007021.jpg, The two dogs blend in with the stuff animals., Two dogs and a set of stuffed animals rest on a leather couch., Two dogs sit on a couch with many stuffed animals., Two golden dogs laying on the couch with several stuffed animals., Two golden retrievers on couch with many stuffed animals.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_007043.jpg, Two smiling young ladies sitting on a couch., Two women on a rust-colored sofa smile into the camera., Two women on a sofa in a cafe looking at the camera., Two women sitting on a large sofa in a coffee shop., Two women sitting on brown couch.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_007050.jpg, A living room with wooden floors and patterned sofas., A matching furniture set in a living room.," A red, green, and white couch and ottoman in a living room with a hardwood floor.", Colorful furniture on wooden floor in room., Matched flowered and plaid living room set.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_007169.jpg, Two women and a black dog are near a sofa and chair., Two women in a room with a large black dog., Two women reluctantly look at the camera in their home as a black dog looks on., Two women stand in a living room with a black dog., Two women standing in a living room with a black dog looking towards the camera.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_007837.jpg, A man and two women smiling at the camera while sitting on a blue sofa., an older couple and a girl sitting on a blue futon , An older man sits with an older and a younger woman on a blue couch., People sitting on acouch , The people are posing on a blue futon.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_008103.jpg, a blue couch with Power Puff Girls cushions with a brown coffee table in front , A living room containing a blue sofa with a wooden coffee table.," A living room with a window, sofa, coffee table, and yellow paint.", A room with cartoon pillows on a couch., A tidy living room with sun shining through the windows.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_008106.jpg, A bright blue couch sits near a overturned chaise lounge and bench.," A living room with a blue sofa, camp bed, wooden bench and dresser.", An empty living room with a blue couch , A room with a blue sofa and an overturned cot., A sparse room in an apartment is a little disheveled.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_008162.jpg, A couple holds a baby., A man and women sitting on a sofa holding a small baby., A middle eastern couple sitting on a couch holding their baby and displaying a gift., Couple with newborn baby., Indian couple and newborn 
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_008271.jpg, A black and wooden seating area., A black couch , A black leather couch with glass doors behind., A picture of of a black leather couch., The black leather couch looks resting for future owner.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_008313.jpg, A bag of cotton in front of a couch., A bag of white cotton leaning on a colorful couch , A giant polka bag filled with with cotton in sits on a tan rug in front of a paisley couch., A polka bag of white cotton is sitting upright in from of a maroon couch., Large bag of cotton in front of couch.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_008517.jpg, A woman and elderly woman sitting together posing on a couch., Elderly woman sitting on red patterned couch with her arm around younger woman.," Two ladies, one younger and one older, sit on a living room sofa while smiling for the camera.", Two women pose together on a sofa., Two women sitting on couch posing for camera.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_008538.jpg," A decorated room with blue carpeting, a cream sofa and chair, and a patio door."," A living room with a sofa, chair, coffee table, and a sliding glass door.", Living room with white couch and blue carpeting., The living room in the apartment gets some afternoon sun.," There is a living room with blue carpet, white furniture, and coffee table."
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_008567.jpg, A girl sits on the couch with her arms crossed., A girl with arms crossed sitting on a sofa., Black and white photo of a girl on a sofa., Depressed woman sitting on couch., This is a black and white photo of a woman on a sofa with her arms crossed.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_008608.jpg," A living room with a beige sofa and love seat, television, and coffee table.", A living room with two sofas and a large TV along with a palm in the corner., Cream furniture and a television in a living room with palm tree decorations., Living room with tan furniture and flat screen television.," The model home allows a comfortable seating arrangement to watch television,"
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_008622.jpg, A dark brown dog on a blue loveseat and a light brown puppy on a cream rug., An adult basset hound lays on a blue couch while a basset hound puppy lays on a rug on the floor.," There are two dogs, one laying on a couch, one laying on the floor.", Two basset hounds lying down in room., Two dogs in a living room sitting on the couch and on the floor.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_008628.jpg, A broken sofa sits beneath a concrete structure with graffiti., A broken sofa underneath an underpass marked with graffiti., A couch outside by graffiti covered walls and columns., A couch sits outside by graffiti covered walls , An old sofa sitting underneath a concrete bridge.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_008642.jpg, A black and white photo of a love seat., A black-and-white photo of a loveseat., A loveseat is near a table., A white leather couch with a purse and throw blanket on it., Black and white photo of couch with purse at one end.
https://vision.cs.uiuc.edu/pascal-sentences/sofa/2008_008649.jpg, A large white living room with a fireplace and large TV.," A living room with a TV, two chairs, a love seat, and a coffee table."," A living room with a wooden floor, a fireplace, and mismatched furniture.", Red chair in living room with wooden floor.," View of a living room containing couches, TV and fireplace."
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_000343.jpg, A backpack standing beside a train., A guy with a backpack standing next to a train., A man in black shorts stands beside a green train., A man standing on a platform next to a green and yellow train., A man wearing white gym shoes stands near a green train.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_000916.jpg, Green train arriving at station., Passangers wait to get on a little green children , Passengers at a station waiting to board a train pulled by a green locomotive engine., Passengers loading onto a train with a green and black steam engine., Several people waiting to board the train.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_001164.jpg, A colorful train , An old American steam engine with flags flying., A train coming head on , Black train idle on the tracks., The front of a gilded steam engine.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_001625.jpg, A boxcar with graffiti on it., A graffiti covered Southern Pacific freight car., A graffiti decorated railroad car., A graffiti side of a freight train car , A train with graffiti art on the side.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_001850.jpg, A close up of a silver train., A close-up of a silver train engine with a red stripe., Large silver locomotive engine in a shed., Left side of a silver train engine., The silver train is parked in a station 
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_001866.jpg, An Amtrak passenger train waiting at a station., A silver and blue Amtrak train on the tracks near a small train station., A train parked at a train station., Silver train at a station , There is a blue and silver astray train.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_001926.jpg, A blue and yellow locomotive alongside a station platform., A blue and yellow train in front of a two-tone green building., a train on tracks in town , a train passing a teal building from a side view , A trolley on a street.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_002158.jpg, A trail car on the tracks at a station., A train heading for Trenton stops at a station., a train in a station , A white train pulling into a station., The white train is sitting on the tracks.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_002222.jpg, A man waits on the platform as the light rail train approaches., A train pulls into a stop surrounded by trees., People wait for the train to stop so that they can board., People waiting for yellow and white train to stop., Two men watching the oncoming train.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_002325.jpg, A man gets off the Peruvian train for a photo opportunity., A man stands in front of a train labeled Perurail near mountains., A person posing for a picture outside a train , A person standing in front of a blue PeruRail train by the mountains.," The person is standing in front of the blue, yellow and white train."
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_002452.jpg, A small train stopped on the tracks in a park., Railroad tracks with a railroad car on them., The brown train is sitting on the railroad tracks., The train heads down the tracks and along the hedge., Train cars sitting on a track.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_002900.jpg, A black and white photo of an empty train station., A black and white picture of a rail line and telegraph poles., A black and white picture of railroad tracks., An empty train next to a parallel set of tracks.," Photo of a train station, in black and white."
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_003068.jpg, A green steam engine traveling on the railroad tracks., A green steam train running down the tracks., An old train travels in the country., A steam engine comes down a train track near trees., Steamy locomotive speeding thou the forest.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_003826.jpg, A London Underground train in a siding next to a London Overground train., The red train and the yellow train on on the tracks., Trains amble by the rail yard., Two trains are traveling on the track., Two trains stopped on a railroad track.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_003992.jpg, A long American freight train near a station., A train is on the railroad tracks , A train is running down the track in a rural area., A train is running on the tracks., A yellow and black train with tanker cars belching smoke.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_004214.jpg, A BNSF railroad train on a track by water., A brightly colored train is on tracks near grass., A large orange and black locomotive., A train is traveling on the railroad track in a rural area.," Yellow, blue and orange train on train tracks."
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_004367.jpg, A CN freight engine passes by a larger freight train., A CN freight train moves past wagons., A pair of locomotives travels by train cars., front side of a red freight train , Train with a red front.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_004610.jpg, A long train is on train tracks., A yellow freight train , Locomotive attached to a train., The front of a yellow freight train , The long yellow train is sitting on the tracks.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_004914.jpg, A modern train in the snow., A train going down the track in a snow covered landscape., A yellow passenger train running along snow covered tracks., A yellow train on a racetrack with snow on it., Yellow train riding down snow covered tracks.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_005282.jpg, An indoor train depot with trains on both sides of the walkway., A train parked at a train station., Trains inside an indoor station , Train station., Two old passenger trains in a depot.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_005968.jpg, A black steam engine with yellow stars on it., A close-up of a black train engine., A steam engine train., Idle black train at station., Old train engine with stars on its side.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_006010.jpg, A train car at a large group of railroad tracks , A train sitting on the tracks in a train yard., A train travels down one track amongst many., Caboose on train track., Two train engines in a rail yard.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_006158.jpg, A passenger train coming into a station., A subway train pulling into the station., A train on drinks pulling into a station.," Train going down the tracks through a tunnel,", Train in a station.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_006553.jpg, A black steam train traveling on the railroad tracks., A large steam locomotive pulling a passenger train through the countryside., A steam engine and train moving toward the camera., A steam-powered locomotive., Train going down the tracks.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_006655.jpg, A blue and yellow train crosses a river near a waterfall., A blue train crosses over a ditch in the mountains., A blue train crossing over a pulley., A blue train with silver top that is crossing a divide., Blue train over rocky crevasse 
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_006818.jpg, An old passenger train in blue and white sits in Sheffield Station., A passenger train waiting at the city train station., A passenger train with a yellow engine., Black train arriving at train., The blue train is at the station.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_007011.jpg, A multi-colored train on a track., an old diesel train in the country , A row of locomotives on a siding in a field., A train seen from the back end , A train set on tracks.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_007201.jpg, A red train ," A red, yellow and black locomotive from the Panama Canal Railway in a siding."," A red, yellow, and black Panama Canal Railway train sits on dead-end tracks.", side view of a Panama Canal Railway freight train , The left side of a Panama Canal Railway locomotive.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_007231.jpg, A large yellow locomotive showing the number 8300 with a bright blue sky above., an old yellow diesel engine ," A train emblazoned with ""8300"" beneath a lovely blue sky.", A yellow train stopped., a yellow train with 8300 on it 
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_007247.jpg, A black train engine is facing me on the tracks with its light on in the woods during the day., A close-up of a black train engine., A front view of a black train engine on the tracks with people standing on either side., A group watches an old freight train engine., The train is very old and has the number 1225 on it.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_007280.jpg, A commuter train pulling into a platform at night., A woman in a black hat is standing by the subway , A woman is waiting by a subway train., A woman waits for a train on the platform., A woman with a black hat and coat standing beside a subway car.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_007521.jpg, A picture of an old train on the tracks., A railway sits on an off-track at a factory in the woods., A train on the train tracks., Gloomy train tracks , train tracks with dark building next to it 
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_007759.jpg, A man walking past the red and yellow train., A passenger train in the snow., A red train driving through a snow covered city., The train is riding on the tracks in the snow., Yellow and red train on tracks in winter time.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_007779.jpg, A black coal train passes many overhead wires., A black locomotive goes by on the train tracks., A black steam engine passes a fence., A black train moves down the tracks., An antique freight engine rides on the tracks.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_008001.jpg, A car parked in front of train tracks., A freight train crossing a rural road., A mostly black train on a track., A small white car and a passing train., A train carrying tanks passes a small silver car.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_008020.jpg, A moving train in a suburban area , A train is railing between a dead end street and a stand of evergreens., Black train on train tracks., The locomotive is visible just beyond the guardrail and in front of the telephone pole., Train engine with trees in the background.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_008123.jpg, An electric train on tracks under an overpass., A passenger train sits in the station., A red and white railroad car with passengers inside., A red and white Sun Liner train beneath an overpass., The train sits at the train station.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_008152.jpg, A blue train in a mountainous area., An old train sits idle on the tracks., A weathered passenger train car., Old blue and white train on tracks., Picture of an old railroad car with a passenger looking out the window.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_008200.jpg, An electric streetcar is on train tracks., A passenger train going over a railroad crossing., Train coming forward on a track., Train gliding on tracks., Train pulling into a station.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_008203.jpg," A red and cream colored train with graffiti on it at a small, open air train station.", A train is parked at a station next to benches., A train parked at an empty train station., Subway station with the vehicle parked., Trolley style train cars with graffiti on them sit at a station.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_008223.jpg, A passenger train waiting in a station.," A red, white and blue train pull up to the station.", Electric train or tram waiting at a station , Passenger train stopped at rail station.," Red, white and blue train arriving at train station."
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_008321.jpg, An Amtrack train coming towards the camera on a set of tracks with tracks next to it., a train rides on his tracks , A train traveling down the tracks., The train arrive in the late afternoon.," The train comes down the track, between two rows of trees."
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_008527.jpg, A yellow and white train and one orange train on the opposite sides of a small train station., There is a train and two yellow and white cars at the train station., Two trains are on train tracks near a median., Two trains inside a train station., Two train tracks with a train on each.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_008545.jpg, A coal train traveling down the tracks., A locomotive with smoke coming out of the top going away from the camera., a steam train with dark smoke , Steam rises from the train engine on the tracks., The steam from the train signals it is time to move out.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_008583.jpg, A Canadian train with the flag of Canada on the tracks.," A gray, yellow and blue train engine from Canada.", Canadian train on tracks., The Canadian locomotive is parked., The train engine is labeled with the word Canada and a flag.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_008618.jpg, A man posing in front of a passenger train., A man stands on a platform in front of a silver train., Man standing in front of a silver rail car., Man standing in front of silver train., The man poses for a photo in front of the train.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_008632.jpg, An American flag and another flag fly above a yellow train engine and snow., A yellow and black train passing through the snow toward two flag poles., Two flags fly on a snowy day as a yellow train approaches., Two flags lay quietly on their poles while a freight train passes by on the tracks., Two flags on flagpoles near a train on covered ground.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_008662.jpg, The trains sit idly in the yard., Two green and white trains are sitting on the train track., Two green and white trains on tracks., Two green and white trains parked on tracks., Two green and white trains sitting on the tracks.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_008739.jpg, an old wooden train heading toward an old station , A railroad track and a train to the side., A train passing through a deserted town., A train sitting on the tracks near a field., Close up of a railroad track with two old wooden rails on one side.
https://vision.cs.uiuc.edu/pascal-sentences/train/2008_008751.jpg, A grey and red train coming out of a tunnel., An orange and silver train pass by a building on a hill., A red and gray train is going through a tunnel., A red and gray train travels through a tunnel amongst the trees., Train going into a tunnel 
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_000305.jpg, A hotel room contains a flat-screen TV and sparse but adequate furnishings., A television and a laptop computer are on in a hotel room., A television screen over a room with two desks and a bed.," The table, chair, and television of a hotel room have a yellow hue due to the lamp light.", The television and desk of hotel room with lamp lighting.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_001021.jpg, A man pressing a button on a television., A man sitting and pointing at a blurred screen., a man turning on a TV in his office , A man viewing television in a doctors office., Man pointing at image on tv. 
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_001461.jpg, A woman and her dog watch the cameraman in their living with wooden floors., A woman sitting on the couch while a black faced dog runs across the floor., A woman wearing a backpack sits on a couch while a small dog runs on the hardwood floor next to her., A women sitting on a sofa while a small Jack Russell walks towards the camera.," White and black small dog walks toward the camera while woman sits on couch, desk and computer seen in the background as well as a pillow, teddy bear and moggie toy on the wood floor."
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_001641.jpg, a desk with a computer in a room , A messy home office., a office space with two windows , A room set up as a quaint office., A wooden desk alongside a large printer in a busy office.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_001688.jpg, A television and entertainment center., A wide screen TV in a green entertainment center., A wide screen TV sits in a living room., Entertainment center with TV and picture frames.," The entertainment center of the living room includes a TV, plants, and several baskets."
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_001704.jpg, A laptop and a PC at a workstation., A laptop computer and a computer monitor., An HP laptop sits on a desk next to a Dell monitor., Computer and two monitors., Laptop and desktop computer screen sitting on desk.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_001772.jpg, A green painted office with a buster eaten poster and a soda bottle on the wall.," An office with a green wall, desk, fax machine, computer, and chairs.", An office with multiple desks and green walls., Home office space with bright green walls and artwork., Small office space with bright green walls.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_001920.jpg, A close-up picture of a desk with a computer and papers on it., a messy desktop with two monitors , Messy computer desk with two monitors., The desk is very cluttered and has an old computer on it., Very crowded office desk with computer monitor on.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_002066.jpg, A computer monitor has a picture of a cat in a pumpkin., A graphic of a black cat in a pumpkin displayed on a computer screen., Close up of a PC monitor with a large halloween pumpkin displayed., Sticker-covered computer monitor., This is a computer monitor next to a cat-themed picture frame and showing an image of a cat and jack o'lantern.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_002328.jpg, A group of men sitting in a classroom., Students sit in a room using laptop computers., Three dark-haired young men sit in a classroom with one looking at his laptop., Three men surfing the internet., Young men sitting in what appears to be a class.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_002547.jpg," A black, flat screen television placed on the floor.", A flat screen TV on the floor., A flat-screen TV sits on the floor., A large LCD television on the floor with many wires connected., The idle monitor is wide.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_002817.jpg," A computer and collection of gadgets, including pop, cell phone, pot and game advance."," A computer monitor, keyboard, pot, and cell phone sitting on a table.", A computer with four mobile electronic devices and one magazine in front of it., A desktop computer with electronic devices lined up in front of it.," Computer monitor, and various electronic devices on a desk, and a magazine to the left."
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_003037.jpg, A messy bedroom.," A pile of bunched-up sheets lay on top of a bed, next to some discarded clothes and a box.", A single bed with boxes and bedding piled on the bed and floor., A unkempt bedroom with boxes to the right., Messy room with unmade twin bed and moving boxes.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_003466.jpg, A silver television on a silver stand with visible wires., a silver TV with a silver stand , A television is on a media stand near a plant., A television with a show on., A TV and cable unit that is currently playing a video.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_003609.jpg, girls and one guy playingtwister , Three people playing Twister., Two girls and guy play Twister in a living room., Two girls playing twister while guy watches., Two women play twister while a man looks on.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_003995.jpg, College students finally get the answer they've been looking for., Four people interested in something on a computer monitor., Four people stacking hands with a computer monitor in the background , friends in front of acomputer , One man sitting next to a computer screen pointing to it while three others look at the screen.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_004004.jpg, A, A large screen tv with news headlines., A monitor is on to a screen reading World News Today from Yahoo. , Library kiosk display showing news , World news headlines displayed on a large screen.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_004008.jpg, A green lamp sits beside a television on a dresser in a bedroom with white furniture.," A white colored room containing a table, chairs and TV "," A white room with a tv and fridge, looks like a hotel room.", Bedroom with white furniture and white walls., The bedroom set is clean and basic.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_004097.jpg, A cluttered living space is typical of a small apartment., a small room with a fan and a small coffee table ," A small TV along with a coffee table, shelves and fan.", Living room with table and entertainment center., Person writing on notepad in living room.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_004301.jpg, A boy looking at a computer screen., A boy looking at a computer screen that has a glare , A young boy with glasses sites in front of a computer., Boy using a computer., Boy with glasses typing on a computer.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_004501.jpg, A man sitting at an office desk with his computer on., A man with glasses and a burgundy shirt seated at his cubicle in front of a computer., A man with glasses in a cubicle., A man with thinning hair and a brown shirt looks up from the computer in his cubicle., Man with glasses and maroon shirt sitting at office desk in cubicle.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_004506.jpg, A home office with three computer monitors and other equipment on a desk., A room with four computer monitors in a row., A room with several computers and pictures on the wall., Room with several computer monitors., This is a bedroom containing several computers and somewhat cluttered walls.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_004550.jpg, A bathtub under stained glass windows., A beautiful tub under a stained glass window., A white bath tub set beneath stained glass artistry., The modern bath tub is equipped with a flat screen television., The stained glass window allows light into the bathroom while keeping prying eyes out.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_004665.jpg, A man sitting in a chair with a laptop on his lap watching a TV set in the corner., A man sitting in a nearly empty room working on a computer and watching a small television., A man sitting on a chair watching TV and using a laptop., A young man is in a chair using a laptop while the television is on.," A young man using a laptop computer is sitting in a chair, looking at a turned on television."
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_004908.jpg, A computer with two monitors on a white desk., monitors on adesk , Two computer monitors with matching images., Two computer monitors with matching screens sit on a desk with other electronics., Two computer monitors with the same background are placed right next to each other.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_004910.jpg," A living room with TV, books, vacuum, and accessories.", A modest living room contains two cluttered bookshelves and a small flatscreen TV., A small TV on a wooden floor is surrounded by bookshelves and cleaning supplies., A television next to a bookcase and vacuum cleaner., The corner of a cluttered room with a television and two full book shelves.
